date,location,river,basin,latitude,longitude,elevation_m,DHM Station ,precipitation_mm,soil_moisture_0_100cm_m3m3,rain_mm,temperature_mean_c,dew_point_mean_c,precipitation_hours,relative_humidity_mean_pct,wind_speed_max_kmh,wind_gusts_max_kmh,wind_direction_dominant_deg,river_discharge_m3s
17-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.291,10.7,5.1,71,9.5,29.2,181,0.87
17-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.199,13.6,8.8,74,9.8,22.3,273,11.85
17-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.257,10.7,7.5,82,9.3,18.4,293,0.28
17-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.445,11.2,2,55,8.6,20.9,76,15.75
17-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.235,14.8,9.6,72,7.3,20.5,151,0.23
17-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.299,10.5,7.4,83,7.4,26.6,63,0.26
17-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.253,13.5,9.8,79,8,19.1,290,0.83
17-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.22,8.3,4.5,80,9.7,29.2,299,0
17-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.121,12,7.7,76,9.6,27.7,312,21.13
17-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.306,11.5,-10.6,22,14.8,77.8,180,0.16
18-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.29,11.3,1.7,54,4.8,22.7,120,0.87
18-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.195,13.8,9,75,10.9,25.9,268,11.85
18-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.256,11.2,8,82,9.9,16.2,316,0.28
18-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.442,11.8,-1.8,40,7.3,13.3,75,15.44
18-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.234,14.2,9.4,74,8.6,20.5,252,0.23
18-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.299,11.1,7.9,82,7.1,25.9,27,0.26
18-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.245,13.2,8.8,76,10.8,17.3,303,0.83
18-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.223,9.1,3,69,9.5,28.4,304,0
18-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.12,12,7.1,74,9.2,27,319,21.08
18-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.306,12.5,-8.5,24,12.7,61.9,180,0.16
